Category_Id;Description;Broader_Category
q-fin.RM;Risk Management;Quantitative Finance
q-fin.PM;Portfolio Management;Quantitative Finance
q-fin.TR;Trading and Microstructure;Quantitative Finance
q-fin.MF;Mathematical Finance;Quantitative Finance
q-fin.CP;Computational Finance;Quantitative Finance
q-fin.ST;Statistical Finance;Quantitative Finance
q-fin.GN;General Finance;Quantitative Finance
q-fin.EC;Economics;Quantitative Finance
stat.AP;Applications;Statistics
stat.CO;Computation;Statistics
stat.ML;Machine Learning;Statistics
stat.ME;Methodology;Statistics
stat.OT;Other Statistics;Statistics
stat.TH;Theory;Statistics
astro-ph;Astrophysics;Physics
